Project_ID,Industry,AI_Use_Case,ROI_Percent,Performance_Score,Governance_Risk_Score,Risk_Category,Business_Priority,AI_Alert,Management_Insight
AI-0207,Manufacturing,Fraud Detection,43.72,68.09,48.39,Medium,Review,High Downtime | Low User Adoption,Project requires management monitoring.
AI-0208,Manufacturing,Predictive Maintenance,-49.11,82.85,26.74,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0209,Logistics,Demand Forecasting,-80.74,66.16,48.76,Medium,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0210,Healthcare,Fraud Detection,-3.78,74.51,73.88,High,Review,Negative ROI | High Governance Risk | High Downtime,Financial review required due to negative ROI.
AI-0211,Retail,Document Intelligence,-83.59,70.46,45.64,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0212,Banking,Customer Support,-74.44,65.96,41.79,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0213,Telecom,Recommendation,-97.62,78.11,36.38,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0214,Banking,Document Intelligence,56.48,70.42,52.57,Medium,Review,Low User Adoption,Project requires management monitoring.
AI-0215,Banking,Fraud Detection,-58.37,74.25,44.48,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0216,Retail,Document Intelligence,-34.68,78.16,29.78,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0217,Banking,Customer Support,-42.07,70.46,37.78,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0218,Healthcare,Fraud Detection,-75.79,61.74,42.04,Medium,Review,Negative ROI | High Data Drift | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0219,Healthcare,Document Intelligence,-28.45,50.66,33.65,Low,Review,Negative ROI | Low AI Performance | High Data Drift | Low User Adoption,Financial review required due to negative ROI.
AI-0220,Manufacturing,Recommendation,-82.2,70.76,11.63,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0221,Logistics,Recommendation,35.72,56.6,34.27,Low,Review,Low AI Performance | High Downtime,Model performance optimization is recommended.
AI-0222,Telecom,Demand Forecasting,-92.41,54.49,43.66,Medium,Review,Negative ROI | Low AI Performance,Financial review required due to negative ROI.
AI-0223,Banking,Document Intelligence,-46.24,61.09,14.32,Low,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0224,Banking,Predictive Maintenance,-56.42,65.88,34.78,Low,Review,Negative ROI | High Data Drift | Low User Adoption,Financial review required due to negative ROI.
AI-0225,Retail,Document Intelligence,-36.31,80.8,61.71,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0226,Logistics,Fraud Detection,-79.4,70.98,31.38,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0227,Healthcare,Fraud Detection,-69.82,84.71,47.3,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0228,Telecom,Document Intelligence,102.06,61.24,33.98,Low,Monitor,High Data Drift,Data monitoring and model retraining should be considered.
AI-0229,Manufacturing,Customer Support,-74.7,71.53,43.17,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0230,Healthcare,Recommendation,-78.97,64.63,24.25,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0231,Logistics,Fraud Detection,-50.91,57.97,54.37,Medium,Review,Negative ROI | Low AI Performance | High Data Drift | Low User Adoption,Financial review required due to negative ROI.
AI-0232,Manufacturing,Recommendation,-63.13,82.91,26.73,Low,Monitor,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0233,Retail,Fraud Detection,20.88,72.79,38.4,Medium,Review,Healthy,AI project is performing within acceptable business and governance limits.
AI-0234,Retail,Demand Forecasting,67.41,75.57,37.34,Medium,Monitor,High Downtime | Low User Adoption,Project requires management monitoring.
AI-0235,Banking,Predictive Maintenance,16.84,76.42,39.13,Medium,Review,Healthy,AI project is performing within acceptable business and governance limits.
AI-0236,Logistics,Fraud Detection,-64.02,68.58,48.71,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0237,Telecom,Recommendation,-86.54,65.96,36.73,Medium,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0238,Manufacturing,Demand Forecasting,-90.04,56.9,31.39,Low,Review,Negative ROI | Low AI Performance | High Data Drift | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0239,Healthcare,Fraud Detection,1.4,71.04,44.04,Medium,Review,High Data Drift | Low User Adoption,Data monitoring and model retraining should be considered.
AI-0240,Logistics,Customer Support,116.57,82.82,58.79,Medium,Monitor,Healthy,AI project is performing within acceptable business and governance limits.
AI-0241,Logistics,Predictive Maintenance,18.51,54.01,47.63,Medium,Review,Low AI Performance | Low User Adoption,Model performance optimization is recommended.
AI-0242,Retail,Fraud Detection,-78.76,64.13,28.33,Low,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0243,Banking,Demand Forecasting,278.88,64.71,36.02,Medium,Strategic,High Data Drift,Data monitoring and model retraining should be considered.
AI-0244,Banking,Customer Support,-36.66,60.3,64.22,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0245,Manufacturing,Document Intelligence,94.51,70.36,46.29,Medium,Monitor,High Downtime | Low User Adoption,Project requires management monitoring.
AI-0246,Retail,Demand Forecasting,-91.96,73.06,40.99,Medium,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0247,Logistics,Demand Forecasting,-40.27,76.65,59.96,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0248,Telecom,Customer Support,-47.26,57.67,56.8,Medium,Review,Negative ROI | Low AI Performance | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0249,Retail,Demand Forecasting,-68.55,70.68,45.56,Medium,Review,Negative ROI | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0250,Manufacturing,Customer Support,-84.1,66.67,39.38,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0251,Manufacturing,Fraud Detection,-79.07,64.16,32.58,Low,Review,Negative ROI | High Data Drift | Low User Adoption,Financial review required due to negative ROI.
AI-0252,Retail,Customer Support,-18.51,78.08,42.08,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0253,Manufacturing,Customer Support,-71.37,73.43,40.58,Medium,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0254,Retail,Predictive Maintenance,-43.93,62.69,34.99,Low,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0255,Healthcare,Customer Support,219.17,77.07,29.63,Low,Strategic,Healthy,AI project is performing within acceptable business and governance limits.
AI-0256,Retail,Customer Support,-85.09,68.79,35.14,Medium,Review,Negative ROI | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0257,Retail,Document Intelligence,7.14,62.46,40.84,Medium,Review,High Data Drift,Data monitoring and model retraining should be considered.
AI-0258,Manufacturing,Fraud Detection,-59.38,78.49,52.0,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0259,Manufacturing,Predictive Maintenance,-90.84,69.96,54.89,Medium,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0260,Banking,Document Intelligence,-67.95,65.15,48.54,Medium,Review,Negative ROI | High Data Drift | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0261,Banking,Recommendation,5.24,73.27,67.14,High,Review,High Governance Risk | High Downtime,Governance review required before further scaling.
AI-0262,Healthcare,Fraud Detection,18.56,63.91,18.0,Low,Monitor,High Data Drift | Low User Adoption,Data monitoring and model retraining should be considered.
AI-0263,Banking,Fraud Detection,-75.52,71.9,47.14,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0264,Retail,Recommendation,-32.8,75.54,65.26,High,Review,Negative ROI | High Governance Risk | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0265,Manufacturing,Customer Support,-82.01,60.53,30.45,Low,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0266,Banking,Document Intelligence,-73.88,62.99,29.71,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0267,Banking,Demand Forecasting,299.41,76.15,65.24,High,Monitor,High Governance Risk | High Downtime,Governance review required before further scaling.
AI-0268,Healthcare,Predictive Maintenance,-86.19,60.34,23.36,Low,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0269,Logistics,Demand Forecasting,-39.89,81.72,47.2,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0270,Healthcare,Recommendation,-80.94,78.21,42.51,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0271,Retail,Fraud Detection,-94.66,70.5,34.05,Low,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0272,Manufacturing,Fraud Detection,101.23,71.56,62.59,Medium,Monitor,High Data Drift | High Downtime | Low User Adoption,Data monitoring and model retraining should be considered.
AI-0273,Healthcare,Predictive Maintenance,-72.69,60.92,71.28,High,Review,Negative ROI | High Governance Risk | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0274,Banking,Fraud Detection,-95.06,55.87,64.19,Medium,Review,Negative ROI | Low AI Performance | High Data Drift | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0275,Manufacturing,Fraud Detection,-41.08,74.81,28.28,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0276,Manufacturing,Predictive Maintenance,43.95,54.42,19.14,Low,Monitor,Low AI Performance | High Data Drift,Model performance optimization is recommended.
AI-0277,Banking,Document Intelligence,-74.29,63.11,56.06,Medium,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0278,Healthcare,Document Intelligence,8.0,68.85,28.08,Low,Review,High Downtime,Project requires management monitoring.
AI-0279,Banking,Predictive Maintenance,-57.66,76.19,47.26,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0280,Logistics,Recommendation,-65.16,85.38,26.06,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0281,Manufacturing,Fraud Detection,-23.97,64.7,54.23,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0282,Telecom,Fraud Detection,263.41,78.63,31.0,Low,Strategic,Healthy,AI project is performing within acceptable business and governance limits.
AI-0283,Telecom,Recommendation,67.56,70.25,46.2,Medium,Monitor,High Downtime,Project requires management monitoring.
AI-0284,Retail,Document Intelligence,-53.58,59.28,39.11,Medium,Review,Negative ROI | Low AI Performance | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0285,Banking,Customer Support,-63.36,68.59,21.5,Low,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0286,Banking,Customer Support,79.5,65.06,42.82,Medium,Monitor,High Downtime,Project requires management monitoring.
AI-0287,Retail,Customer Support,-60.31,66.97,37.31,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0288,Retail,Document Intelligence,-92.39,77.07,53.5,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0289,Retail,Document Intelligence,-73.7,73.47,49.68,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0290,Manufacturing,Recommendation,-61.23,69.59,65.44,High,Review,Negative ROI | High Governance Risk | High Downtime,Financial review required due to negative ROI.
AI-0291,Logistics,Fraud Detection,146.32,78.07,27.65,Low,Monitor,Healthy,AI project is performing within acceptable business and governance limits.
AI-0292,Banking,Recommendation,-90.24,73.07,12.53,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0293,Manufacturing,Recommendation,106.93,64.2,30.46,Low,Monitor,Low User Adoption,Project requires management monitoring.
AI-0294,Retail,Document Intelligence,-22.09,62.74,41.5,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0295,Banking,Customer Support,-59.08,67.08,40.28,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0296,Manufacturing,Demand Forecasting,-44.32,59.5,44.61,Medium,Review,Negative ROI | Low AI Performance | High Data Drift | Low User Adoption,Financial review required due to negative ROI.
AI-0297,Logistics,Fraud Detection,-28.7,73.1,44.43,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0298,Manufacturing,Document Intelligence,-75.13,69.3,71.85,High,Review,Negative ROI | High Governance Risk | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0299,Logistics,Customer Support,-49.64,82.08,65.32,High,Review,Negative ROI | High Governance Risk | High Downtime,Financial review required due to negative ROI.
AI-0300,Retail,Demand Forecasting,28.14,71.83,28.77,Low,Monitor,High Downtime,Project requires management monitoring.
AI-0301,Logistics,Demand Forecasting,-68.91,64.32,52.09,Medium,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0302,Banking,Document Intelligence,39.65,81.48,33.64,Low,Monitor,Healthy,AI project is performing within acceptable business and governance limits.
AI-0303,Retail,Predictive Maintenance,-59.54,85.77,15.85,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0304,Banking,Fraud Detection,-90.6,69.18,36.99,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0305,Telecom,Demand Forecasting,-82.99,74.42,53.85,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0306,Healthcare,Document Intelligence,-72.35,79.33,36.41,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0307,Logistics,Document Intelligence,-51.27,57.58,37.21,Medium,Review,Negative ROI | Low AI Performance | High Data Drift,Financial review required due to negative ROI.
AI-0308,Healthcare,Customer Support,-41.71,55.99,45.12,Medium,Review,Negative ROI | Low AI Performance,Financial review required due to negative ROI.
AI-0309,Healthcare,Predictive Maintenance,-56.34,70.33,11.92,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0310,Logistics,Fraud Detection,-86.73,63.28,50.25,Medium,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0311,Retail,Recommendation,-28.78,66.95,36.54,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0312,Telecom,Customer Support,-48.45,77.92,39.54,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0313,Banking,Demand Forecasting,37.85,71.94,22.97,Low,Monitor,Healthy,AI project is performing within acceptable business and governance limits.
AI-0314,Manufacturing,Demand Forecasting,-59.42,63.76,64.83,Medium,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0315,Banking,Customer Support,-56.7,77.75,45.33,Medium,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0316,Manufacturing,Document Intelligence,-52.4,62.38,15.59,Low,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0317,Banking,Demand Forecasting,-88.12,66.19,50.02,Medium,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0318,Logistics,Predictive Maintenance,-96.36,69.52,38.85,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0319,Telecom,Fraud Detection,-49.65,75.39,42.16,Medium,Review,Negative ROI | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0320,Manufacturing,Predictive Maintenance,-83.82,73.83,52.81,Medium,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0321,Retail,Demand Forecasting,-85.29,58.93,30.96,Low,Review,Negative ROI | Low AI Performance,Financial review required due to negative ROI.
AI-0322,Banking,Recommendation,-40.25,70.32,16.34,Low,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0323,Banking,Fraud Detection,195.63,58.81,26.58,Low,Strategic,Low AI Performance | High Downtime,Model performance optimization is recommended.
AI-0324,Manufacturing,Fraud Detection,-91.68,85.7,37.41,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0325,Retail,Customer Support,-53.69,66.63,51.07,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0326,Retail,Customer Support,-63.53,85.11,37.4,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0327,Logistics,Recommendation,-95.88,58.3,60.38,Medium,Review,Negative ROI | Low AI Performance | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0328,Logistics,Document Intelligence,-88.19,70.66,30.37,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0329,Logistics,Fraud Detection,-61.58,66.71,46.65,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0330,Logistics,Recommendation,-43.86,70.78,37.54,Medium,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0331,Logistics,Customer Support,-40.74,69.38,4.7,Low,Monitor,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0332,Logistics,Customer Support,37.39,71.56,66.09,High,Review,High Governance Risk | High Downtime | Low User Adoption,Governance review required before further scaling.
AI-0333,Telecom,Fraud Detection,-52.27,71.71,45.96,Medium,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0334,Retail,Predictive Maintenance,31.97,60.8,52.13,Medium,Review,High Data Drift | Low User Adoption,Data monitoring and model retraining should be considered.
AI-0335,Logistics,Demand Forecasting,-47.87,51.72,36.14,Medium,Review,Negative ROI | Low AI Performance | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0336,Retail,Customer Support,-94.9,60.41,41.99,Medium,Review,Negative ROI | High Data Drift | Low User Adoption,Financial review required due to negative ROI.
AI-0337,Retail,Document Intelligence,-67.34,74.1,50.04,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0338,Healthcare,Document Intelligence,-73.24,86.38,26.42,Low,Monitor,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0339,Telecom,Customer Support,7.0,68.62,65.94,High,Review,High Governance Risk | High Downtime | Low User Adoption,Governance review required before further scaling.
AI-0340,Logistics,Predictive Maintenance,-11.89,68.57,38.81,Medium,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0341,Banking,Predictive Maintenance,-22.5,71.6,59.24,Medium,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0342,Manufacturing,Recommendation,-10.36,83.9,38.49,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0343,Banking,Document Intelligence,-33.23,63.49,53.72,Medium,Review,Negative ROI | High Data Drift | Low User Adoption,Financial review required due to negative ROI.
AI-0344,Telecom,Recommendation,-64.52,52.86,15.56,Low,Review,Negative ROI | Low AI Performance | High Data Drift,Financial review required due to negative ROI.
AI-0345,Manufacturing,Document Intelligence,25.47,74.9,36.93,Medium,Review,High Downtime,Project requires management monitoring.
AI-0346,Telecom,Demand Forecasting,-38.06,72.22,49.32,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0347,Retail,Demand Forecasting,-5.35,83.05,48.74,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0348,Manufacturing,Fraud Detection,-48.14,64.16,19.04,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0349,Retail,Recommendation,35.93,80.76,41.87,Medium,Monitor,High Downtime,Project requires management monitoring.
AI-0350,Banking,Customer Support,-55.38,64.19,44.61,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0351,Banking,Recommendation,-61.43,64.9,33.64,Low,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0352,Manufacturing,Customer Support,-35.26,75.05,19.61,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0353,Manufacturing,Predictive Maintenance,-79.74,62.21,48.07,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0354,Logistics,Recommendation,-54.87,67.29,34.11,Low,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0355,Telecom,Predictive Maintenance,-88.5,83.38,52.47,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0356,Logistics,Demand Forecasting,66.61,58.46,62.67,Medium,Review,Low AI Performance | High Data Drift | High Downtime | Low User Adoption,Model performance optimization is recommended.
AI-0357,Telecom,Demand Forecasting,-70.04,64.26,27.37,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0358,Logistics,Fraud Detection,-60.71,65.14,38.0,Medium,Review,Negative ROI | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0359,Retail,Recommendation,-65.81,64.19,34.85,Low,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0360,Manufacturing,Predictive Maintenance,-79.5,58.87,29.3,Low,Review,Negative ROI | Low AI Performance | Low User Adoption,Financial review required due to negative ROI.
AI-0361,Banking,Customer Support,-89.13,64.68,52.14,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0362,Telecom,Demand Forecasting,-69.55,58.12,45.61,Medium,Review,Negative ROI | Low AI Performance | High Data Drift | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0363,Telecom,Demand Forecasting,72.67,72.89,51.38,Medium,Monitor,High Downtime,Project requires management monitoring.
AI-0364,Banking,Customer Support,67.41,83.61,23.84,Low,Monitor,Healthy,AI project is performing within acceptable business and governance limits.
AI-0365,Logistics,Predictive Maintenance,-86.06,64.03,40.36,Medium,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0366,Telecom,Predictive Maintenance,-77.75,63.47,11.78,Low,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0367,Retail,Recommendation,-49.57,72.58,1.52,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0368,Manufacturing,Recommendation,17.57,58.91,31.73,Low,Review,Low AI Performance | High Data Drift,Model performance optimization is recommended.
AI-0369,Banking,Document Intelligence,-80.23,73.05,39.75,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0370,Manufacturing,Document Intelligence,56.57,77.94,60.54,Medium,Review,High Downtime,Project requires management monitoring.
AI-0371,Telecom,Fraud Detection,-58.04,70.07,52.33,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0372,Telecom,Demand Forecasting,-58.24,71.21,13.95,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0373,Banking,Recommendation,-51.52,65.75,31.53,Low,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0374,Retail,Predictive Maintenance,-85.0,61.31,12.48,Low,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0375,Healthcare,Customer Support,-58.0,65.67,23.08,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0376,Banking,Predictive Maintenance,-73.08,81.2,32.59,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0377,Healthcare,Demand Forecasting,348.65,75.0,35.61,Medium,Strategic,Healthy,AI project is performing within acceptable business and governance limits.
AI-0378,Logistics,Document Intelligence,-13.01,74.55,22.94,Low,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0379,Healthcare,Predictive Maintenance,-40.52,69.45,22.11,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0380,Retail,Fraud Detection,-76.98,75.94,6.65,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0381,Logistics,Demand Forecasting,-54.5,55.75,14.78,Low,Review,Negative ROI | Low AI Performance | Low User Adoption,Financial review required due to negative ROI.
AI-0382,Healthcare,Document Intelligence,-20.64,65.2,49.74,Medium,Review,Negative ROI | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0383,Logistics,Customer Support,-50.38,52.39,21.88,Low,Review,Negative ROI | Low AI Performance | High Data Drift | Low User Adoption,Financial review required due to negative ROI.
AI-0384,Healthcare,Document Intelligence,-55.5,86.16,40.14,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0385,Retail,Fraud Detection,-33.21,72.32,33.12,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0386,Healthcare,Demand Forecasting,-68.06,81.19,54.72,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0387,Healthcare,Customer Support,-78.73,71.0,49.06,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0388,Healthcare,Fraud Detection,-97.33,86.34,37.26,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0389,Banking,Document Intelligence,-52.86,78.29,19.57,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0390,Banking,Fraud Detection,-45.53,78.94,53.17,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0391,Banking,Demand Forecasting,126.41,60.99,43.38,Medium,Monitor,High Data Drift,Data monitoring and model retraining should be considered.
AI-0392,Retail,Recommendation,18.34,60.03,18.86,Low,Review,High Data Drift,Data monitoring and model retraining should be considered.
AI-0393,Logistics,Fraud Detection,-85.97,62.8,47.32,Medium,Review,Negative ROI | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0394,Telecom,Fraud Detection,59.18,76.01,50.96,Medium,Monitor,Healthy,AI project is performing within acceptable business and governance limits.
AI-0395,Healthcare,Document Intelligence,-70.65,64.1,43.63,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0396,Healthcare,Document Intelligence,-95.83,62.84,6.13,Low,Monitor,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0397,Retail,Customer Support,-77.74,72.36,25.59,Low,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0398,Healthcare,Document Intelligence,-64.19,74.63,31.7,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0399,Banking,Predictive Maintenance,-95.02,77.99,17.58,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0400,Telecom,Demand Forecasting,-46.85,58.53,53.7,Medium,Review,Negative ROI | Low AI Performance | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0401,Manufacturing,Demand Forecasting,-51.78,70.39,46.49,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0402,Healthcare,Recommendation,-79.95,85.84,21.08,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0403,Banking,Recommendation,-28.6,78.0,59.1,Medium,Review,Negative ROI | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0404,Manufacturing,Demand Forecasting,66.51,65.2,35.95,Medium,Monitor,Healthy,AI project is performing within acceptable business and governance limits.
AI-0405,Telecom,Recommendation,-61.72,58.23,14.37,Low,Review,Negative ROI | Low AI Performance,Financial review required due to negative ROI.
AI-0406,Manufacturing,Customer Support,-57.83,64.11,55.82,Medium,Review,Negative ROI | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0407,Banking,Document Intelligence,-55.5,60.92,40.14,Medium,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0408,Logistics,Demand Forecasting,-20.97,67.59,52.72,Medium,Review,Negative ROI | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0409,Logistics,Recommendation,-48.19,84.82,66.22,High,Review,Negative ROI | High Governance Risk | High Downtime,Financial review required due to negative ROI.
AI-0410,Manufacturing,Demand Forecasting,-66.79,70.09,44.25,Medium,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0411,Retail,Predictive Maintenance,-68.64,80.34,50.87,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0412,Manufacturing,Fraud Detection,36.98,71.84,24.9,Low,Monitor,Healthy,AI project is performing within acceptable business and governance limits.
AI-0413,Healthcare,Document Intelligence,-61.44,67.54,40.19,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0414,Healthcare,Demand Forecasting,-32.19,90.92,70.07,High,Review,Negative ROI | High Governance Risk | High Downtime,Financial review required due to negative ROI.
